能源別	能源子類別	機組名稱	裝置容量	淨發電量	發電量比	備註	空欄位
核能(Nuclear)		核三#1	951.0	684.4	71.966%	燃料限制	
核能(Nuclear)		核三#2	951.0	942.6	99.117%	 	
核能(Nuclear)		小計	1902.0(3.449%)	1627.0(6.974%)			
燃煤(Coal)		林口#1	800.0	0.0	0.000%	故障	
燃煤(Coal)		林口#2	800.0	753.9	94.238%	 	
燃煤(Coal)		林口#3	800.0	756.0	94.500%	 	
燃煤(Coal)		台中#1	550.0	326.0	59.273%	環保限制	
燃煤(Coal)		台中#2	550.0	189.3	34.418%	運轉限制	
燃煤(Coal)		台中#3	550.0	329.8	59.964%	環保限制	
燃煤(Coal)		台中#4	550.0	317.3	57.691%	環保限制	
燃煤(Coal)		台中#5	550.0	279.6	50.836%	環保限制	
燃煤(Coal)		台中#6	550.0	532.5	96.818%	測試運轉 	
燃煤(Coal)		台中#7	550.0	18.9	3.436%	運轉限制	
燃煤(Coal)		台中#8	550.0	282.8	51.418%	環保限制	
燃煤(Coal)		台中#9	550.0	0.0	0.000%	歲修	
燃煤(Coal)		台中#10	550.0	290.4	52.800%	環保限制	
燃煤(Coal)		興達#1(註15)	-	0.0	-	 	
燃煤(Coal)		興達#2(註15)	-	0.0	-	 	
燃煤(Coal)		興達#3(註12)	550.0	261.9	47.618%	環保限制	
燃煤(Coal)		興達#4(註12)	550.0	271.5	49.364%	環保限制	
燃煤(Coal)		大林#1	800.0	761.0	95.125%	 	
燃煤(Coal)		大林#2	800.0	713.0	89.125%	運轉限制	
燃煤(Coal)		小計	10600.0(19.223%)	6083.9(26.076%)			
汽電共生(Co-Gen)		汽電共生	631.4	908.5	-	 	
汽電共生(Co-Gen)		小計	631.4(1.145%)	908.5(3.894%)			
民營電廠-燃煤(IPP-Coal)		和平#1	648.6	317.0	48.878%	運轉限制	
民營電廠-燃煤(IPP-Coal)		和平#2	648.6	560.1	86.362%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#1	600.0	280.7	46.783%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#2	600.0	427.7	71.283%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#3	600.0	482.8	80.467%	運轉限制	
民營電廠-燃煤(IPP-Coal)		小計	3097.1(5.617%)	2068.3(8.865%)			
燃氣(LNG)		大潭CC#1	742.7	582.3	78.403%	 	
燃氣(LNG)		大潭CC#2	742.7	610.5	82.200%	 	
燃氣(LNG)		大潭CC#3	724.7	554.2	76.473%	 	
燃氣(LNG)		大潭CC#4	724.7	551.5	76.100%	 	
燃氣(LNG)		大潭CC#5	724.7	573.7	79.164%	 	
燃氣(LNG)		大潭CC#6	724.7	537.9	74.224%	 	
燃氣(LNG)		大潭CC#7	600.0	0.0	0.000%	停機	
燃氣(LNG)		大潭CC#8(註10)	-	0.0	-	檢修	
燃氣(LNG)		大潭CC#9(註10)	-	0.0	-	 	
燃氣(LNG)		通霄CC#1	892.6	782.1	87.620%	 	
燃氣(LNG)		通霄CC#2	892.6	666.8	74.703%	 	
燃氣(LNG)		通霄CC#3	892.6	666.7	74.692%	 	
燃氣(LNG)		通霄CC#4	386.0	83.9	21.736%	部分故障	
燃氣(LNG)		通霄CC#5	386.0	328.4	85.078%	 	
燃氣(LNG)		通霄CC#6	321.2	252.7	78.674%	 	
燃氣(LNG)		通霄GT#9	180.9	0.0	0.000%	 	
燃氣(LNG)		興達CC#1	445.2	329.0	73.901%	 	
燃氣(LNG)		興達CC#2	445.2	399.1	89.647%	 	
燃氣(LNG)		興達CC#3	445.2	386.8	86.884%	 	
燃氣(LNG)		興達CC#4	445.2	449.0	100.856%	 	
燃氣(LNG)		興達CC#5	445.2	426.2	95.734%	 	
燃氣(LNG)		南部CC#1	288.8	0.0	0.000%	檢修	
燃氣(LNG)		南部CC#2	288.8	197.2	68.283%	 	
燃氣(LNG)		南部CC#3	288.8	196.3	67.971%	 	
燃氣(LNG)		南部CC#4	251.4	232.8	92.601%	 	
燃氣(LNG)		大林#5	-	0.0	-	停機	
燃氣(LNG)		大林#6	550.0	224.1	40.745%	 	
燃氣(LNG)		小計	12829.8(23.267%)	9031.2(38.709%)			
民營電廠-燃氣(IPP-LNG)		海湖#1	450.0	0.0	0.000%	部分故障	
民營電廠-燃氣(IPP-LNG)		海湖#2	450.0	217.7	48.378%	 	
民營電廠-燃氣(IPP-LNG)		新桃#1	630.0	0.0	0.000%	部分故障	
民營電廠-燃氣(IPP-LNG)		國光#1	480.0	0.0	0.000%	 	
民營電廠-燃氣(IPP-LNG)		星彰#1	506.9	0.0	0.000%	合約限制	
民營電廠-燃氣(IPP-LNG)		星元#1	516.0	0.0	0.000%	 	
民營電廠-燃氣(IPP-LNG)		嘉惠#1	700.0	0.0	0.000%	 	
民營電廠-燃氣(IPP-LNG)		嘉惠#2	510.0	0.0	0.000%	合約限制	
