能源別	能源子類別	機組名稱	裝置容量	淨發電量	發電量比	備註	空欄位
核能(Nuclear)		核三#1	951.0	690.1	72.566%	燃料限制	
核能(Nuclear)		核三#2	951.0	938.1	98.644%	 	
核能(Nuclear)		小計	1902.0(3.442%)	1628.2(5.338%)			
燃煤(Coal)		林口#1	800.0	0.0	0.000%	故障	
燃煤(Coal)		林口#2	800.0	757.1	94.637%	 	
燃煤(Coal)		林口#3	800.0	752.3	94.037%	 	
燃煤(Coal)		台中#1	550.0	345.9	62.891%	環保限制	
燃煤(Coal)		台中#2	550.0	343.5	62.455%	環保限制	
燃煤(Coal)		台中#3	550.0	354.0	64.364%	環保限制	
燃煤(Coal)		台中#4	550.0	346.9	63.073%	環保限制	
燃煤(Coal)		台中#5	550.0	438.2	79.673%	環保限制	
燃煤(Coal)		台中#6	550.0	533.5	97.000%	測試運轉 	
燃煤(Coal)		台中#7	550.0	355.2	64.582%	環保限制	
燃煤(Coal)		台中#8	550.0	356.1	64.745%	環保限制	
燃煤(Coal)		台中#9	550.0	0.0	0.000%	歲修	
燃煤(Coal)		台中#10	550.0	349.9	63.618%	環保限制	
燃煤(Coal)		興達#1(註15)	-	0.0	-	 	
燃煤(Coal)		興達#2(註15)	-	0.0	-	 	
燃煤(Coal)		興達#3(註12)	550.0	310.4	56.436%	環保限制	
燃煤(Coal)		興達#4(註12)	550.0	336.9	61.255%	環保限制	
燃煤(Coal)		大林#1	800.0	757.9	94.738%	 	
燃煤(Coal)		大林#2	800.0	757.9	94.738%	 	
燃煤(Coal)		小計	10600.0(19.181%)	7095.7(23.261%)			
汽電共生(Co-Gen)		汽電共生	631.4	1369.5	-	 	
汽電共生(Co-Gen)		小計	631.4(1.142%)	1369.5(4.489%)			
民營電廠-燃煤(IPP-Coal)		和平#1	648.6	368.7	56.850%	運轉限制	
民營電廠-燃煤(IPP-Coal)		和平#2	648.6	458.2	70.650%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#1	600.0	279.6	46.600%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#2	600.0	474.7	79.117%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#3	600.0	565.4	94.233%	 	
民營電廠-燃煤(IPP-Coal)		小計	3097.1(5.604%)	2146.6(7.037%)			
燃氣(LNG)		大潭CC#1	742.7	607.2	81.756%	 	
燃氣(LNG)		大潭CC#2	742.7	667.8	89.915%	 	
燃氣(LNG)		大潭CC#3	724.7	602.6	83.152%	 	
燃氣(LNG)		大潭CC#4	724.7	600.3	82.834%	 	
燃氣(LNG)		大潭CC#5	724.7	606.9	83.745%	 	
燃氣(LNG)		大潭CC#6	724.7	627.2	86.546%	 	
燃氣(LNG)		大潭CC#7	600.0	0.0	0.000%	停機	
燃氣(LNG)		大潭CC#8(註10)	-	0.0	-	檢修	
燃氣(LNG)		大潭CC#9(註10)	-	340.3	-	新機組試俥	
燃氣(LNG)		通霄CC#1	892.6	830.1	92.998%	 	
燃氣(LNG)		通霄CC#2	892.6	845.9	94.768%	 	
燃氣(LNG)		通霄CC#3	892.6	850.2	95.250%	 	
燃氣(LNG)		通霄CC#4	386.0	336.3	87.124%	 	
