能源別	能源子類別	機組名稱	裝置容量	淨發電量	發電量比	備註	空欄位
核能(Nuclear)		核三#1	951.0	709.4	74.595%	燃料限制	
核能(Nuclear)		核三#2	951.0	932.4	98.044%	 	
核能(Nuclear)		小計	1902.0(3.454%)	1641.8(4.964%)			
燃煤(Coal)		林口#1	800.0	749.5	93.688%	 	
燃煤(Coal)		林口#2	800.0	759.0	94.875%	 	
燃煤(Coal)		林口#3	800.0	757.5	94.688%	 	
燃煤(Coal)		台中#1	550.0	412.7	75.036%	環保限制	
燃煤(Coal)		台中#2	550.0	410.9	74.709%	環保限制	
燃煤(Coal)		台中#3	550.0	428.5	77.909%	環保限制	
燃煤(Coal)		台中#4	550.0	421.7	76.673%	環保限制	
燃煤(Coal)		台中#5	550.0	527.6	95.927%	測試運轉 	
燃煤(Coal)		台中#6	550.0	431.9	78.527%	環保限制	
燃煤(Coal)		台中#7	550.0	381.0	69.273%	環保限制	
燃煤(Coal)		台中#8	550.0	384.4	69.891%	環保限制	
燃煤(Coal)		台中#9	550.0	0.0	0.000%	歲修	
燃煤(Coal)		台中#10	550.0	387.3	70.418%	環保限制	
燃煤(Coal)		興達#1(註15)	-	0.0	-	 	
燃煤(Coal)		興達#2(註15)	-	0.0	-	 	
燃煤(Coal)		興達#3(註12)	550.0	369.7	67.218%	環保限制	
燃煤(Coal)		興達#4(註12)	550.0	380.0	69.091%	環保限制	
燃煤(Coal)		大林#1	800.0	759.4	94.925%	 	
燃煤(Coal)		大林#2	800.0	759.4	94.925%	 	
燃煤(Coal)		小計	10600.0(19.247%)	8320.5(25.157%)			
汽電共生(Co-Gen)		汽電共生	631.4	536.5	-	 	
汽電共生(Co-Gen)		小計	631.4(1.146%)	536.5(1.622%)			
民營電廠-燃煤(IPP-Coal)		和平#1	648.6	556.5	85.807%	 	
民營電廠-燃煤(IPP-Coal)		和平#2	648.6	549.0	84.650%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#1	600.0	326.0	54.333%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#2	600.0	564.0	94.000%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#3	600.0	420.3	70.050%	運轉限制	
民營電廠-燃煤(IPP-Coal)		小計	3097.1(5.624%)	2415.8(7.304%)			
燃氣(LNG)		大潭CC#1	742.7	610.6	82.214%	運轉限制	
燃氣(LNG)		大潭CC#2	742.7	684.4	92.150%	 	
燃氣(LNG)		大潭CC#3	724.7	630.8	87.043%	 	
燃氣(LNG)		大潭CC#4	724.7	608.6	83.980%	 	
燃氣(LNG)		大潭CC#5	724.7	267.7	36.939%	部分檢修	
燃氣(LNG)		大潭CC#6	724.7	585.5	80.792%	 	
燃氣(LNG)		大潭CC#7	600.0	0.0	0.000%	停機	
