能源別	能源子類別	機組名稱	裝置容量	淨發電量	發電量比	備註	空欄位
核能(Nuclear)		核三#1	951.0	0.0	0.000%	計劃停機	
核能(Nuclear)		核三#2	951.0	934.7	98.286%	 	
核能(Nuclear)		小計	1902.0(3.441%)	934.7(3.431%)			
燃煤(Coal)		林口#1	800.0	755.3	94.412%	 	
燃煤(Coal)		林口#2	800.0	761.9	95.238%	 	
燃煤(Coal)		林口#3	800.0	756.5	94.562%	 	
燃煤(Coal)		台中#1	550.0	452.2	82.218%	 	
燃煤(Coal)		台中#2	550.0	424.5	77.182%	 	
燃煤(Coal)		台中#3	550.0	461.9	83.982%	 	
燃煤(Coal)		台中#4	550.0	461.4	83.891%	 	
燃煤(Coal)		台中#5	550.0	525.7	95.582%	測試運轉 	
燃煤(Coal)		台中#6	550.0	533.4	96.982%	測試運轉 	
燃煤(Coal)		台中#7	550.0	456.0	82.909%	 	
燃煤(Coal)		台中#8	550.0	462.1	84.018%	 	
燃煤(Coal)		台中#9	550.0	0.0	0.000%	歲修	
燃煤(Coal)		台中#10	550.0	358.5	65.182%	運轉限制	
燃煤(Coal)		興達#1(註15)	-	0.0	-	 	
燃煤(Coal)		興達#2(註15)	-	0.0	-	 	
燃煤(Coal)		興達#3(註12)	550.0	169.6	30.836%	運轉限制	
燃煤(Coal)		興達#4(註12)	550.0	265.3	48.236%	 	
燃煤(Coal)		大林#1	800.0	759.4	94.925%	 	
燃煤(Coal)		大林#2	800.0	761.0	95.125%	 	
燃煤(Coal)		小計	10600.0(19.179%)	8364.7(30.705%)			
汽電共生(Co-Gen)		汽電共生	631.4	664.8	-	 	
汽電共生(Co-Gen)		小計	631.4(1.142%)	664.8(2.440%)			
民營電廠-燃煤(IPP-Coal)		和平#1	648.6	550.6	84.897%	運轉限制	
民營電廠-燃煤(IPP-Coal)		和平#2	648.6	553.3	85.313%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#1	600.0	276.1	46.017%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#2	600.0	563.8	93.967%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#3	600.0	570.4	95.067%	 	
民營電廠-燃煤(IPP-Coal)		小計	3097.1(5.604%)	2514.2(9.229%)			
燃氣(LNG)		大潭CC#1	742.7	633.9	85.351%	運轉限制	
燃氣(LNG)		大潭CC#2	742.7	695.6	93.658%	 	
燃氣(LNG)		大潭CC#3	724.7	657.5	90.727%	 	
燃氣(LNG)		大潭CC#4	724.7	619.0	85.415%	 	
燃氣(LNG)		大潭CC#5	724.7	625.0	86.243%	 	
燃氣(LNG)		大潭CC#6	724.7	647.3	89.320%	 	
燃氣(LNG)		大潭CC#7	600.0	0.0	0.000%	停機	
燃氣(LNG)		大潭CC#8(註10)	-	514.5	-	部分檢修	
燃氣(LNG)		大潭CC#9(註10)	-	87.0	-	新機組試俥	
燃氣(LNG)		通霄CC#1	892.6	856.2	95.922%	 	
燃氣(LNG)		通霄CC#2	892.6	873.1	97.815%	 	
燃氣(LNG)		通霄CC#3	892.6	881.5	98.756%	 	
燃氣(LNG)		通霄CC#4	386.0	345.9	89.611%	 	
燃氣(LNG)		通霄CC#5	386.0	327.5	84.845%	 	
燃氣(LNG)		通霄CC#6	321.2	255.0	79.390%	 	
燃氣(LNG)		通霄GT#9	180.9	0.0	0.000%	 	
燃氣(LNG)		興達CC#1	445.2	332.3	74.642%	 	
