能源別	能源子類別	機組名稱	裝置容量	淨發電量	發電量比	備註	空欄位
核能(Nuclear)		核三#1	951.0	0.0	0.000%	計劃停機	
核能(Nuclear)		核三#2	951.0	938.1	98.644%	 	
核能(Nuclear)		小計	1902.0(3.442%)	938.1(3.317%)			
燃煤(Coal)		林口#1	800.0	749.8	93.725%	 	
燃煤(Coal)		林口#2	800.0	759.9	94.988%	 	
燃煤(Coal)		林口#3	800.0	755.3	94.412%	 	
燃煤(Coal)		台中#1	550.0	248.0	45.091%	環保限制	
燃煤(Coal)		台中#2	550.0	247.9	45.073%	環保限制	
燃煤(Coal)		台中#3	550.0	250.4	45.527%	環保檢測	
燃煤(Coal)		台中#4	550.0	246.2	44.764%	環保限制	
燃煤(Coal)		台中#5	550.0	527.1	95.836%	測試運轉 	
燃煤(Coal)		台中#6	550.0	255.7	46.491%	環保檢測	
燃煤(Coal)		台中#7	550.0	260.5	47.364%	環保限制	
燃煤(Coal)		台中#8	550.0	249.3	45.327%	環保限制	
燃煤(Coal)		台中#9	550.0	0.0	0.000%	歲修	
燃煤(Coal)		台中#10	550.0	300.1	54.564%	環保限制	
燃煤(Coal)		興達#1(註15)	-	0.0	-	 	
燃煤(Coal)		興達#2(註15)	-	0.0	-	 	
燃煤(Coal)		興達#3(註12)	550.0	256.6	46.655%	環保限制	
燃煤(Coal)		興達#4(註12)	550.0	268.4	48.800%	環保限制	
燃煤(Coal)		大林#1	800.0	758.6	94.825%	 	
燃煤(Coal)		大林#2	800.0	755.5	94.438%	 	
燃煤(Coal)		小計	10600.0(19.181%)	6889.3(24.360%)			
汽電共生(Co-Gen)		汽電共生	631.4	791.0	-	部分故障	
汽電共生(Co-Gen)		小計	631.4(1.142%)	791.0(2.797%)			
民營電廠-燃煤(IPP-Coal)		和平#1	648.6	456.5	70.388%	 	
民營電廠-燃煤(IPP-Coal)		和平#2	648.6	460.4	70.989%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#1	600.0	280.4	46.733%	運轉限制	
民營電廠-燃煤(IPP-Coal)		麥寮#2	600.0	565.4	94.233%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#3	600.0	572.1	95.350%	 	
民營電廠-燃煤(IPP-Coal)		小計	3097.1(5.604%)	2334.8(8.256%)			
燃氣(LNG)		大潭CC#1	742.7	634.6	85.445%	運轉限制	
燃氣(LNG)		大潭CC#2	742.7	694.3	93.483%	 	
燃氣(LNG)		大潭CC#3	724.7	662.4	91.403%	 	
燃氣(LNG)		大潭CC#4	724.7	661.8	91.321%	 	
燃氣(LNG)		大潭CC#5	724.7	694.6	95.847%	 	
燃氣(LNG)		大潭CC#6	724.7	689.9	95.198%	 	
燃氣(LNG)		大潭CC#7	600.0	0.0	0.000%	停機	
燃氣(LNG)		大潭CC#8(註10)	-	1057.9	-	部分故障	
燃氣(LNG)		大潭CC#9(註10)	-	0.0	-	 	
燃氣(LNG)		通霄CC#1	892.6	854.4	95.720%	 	
燃氣(LNG)		通霄CC#2	892.6	869.1	97.367%	 	
燃氣(LNG)		通霄CC#3	892.6	875.3	98.062%	 	
燃氣(LNG)		通霄CC#4	386.0	210.0	54.404%	部分檢修	
燃氣(LNG)		通霄CC#5	386.0	330.4	85.596%	運轉限制	
燃氣(LNG)		通霄CC#6	321.2	286.7	89.259%	 	
燃氣(LNG)		通霄GT#9	180.9	0.0	0.000%	 	
燃氣(LNG)		興達CC#1	445.2	462.1	103.798%	 	
燃氣(LNG)		興達CC#2	445.2	403.0	90.523%	 	
燃氣(LNG)		興達CC#3	445.2	390.4	87.693%	 	
燃氣(LNG)		興達CC#4	445.2	332.7	74.732%	 	
燃氣(LNG)		興達CC#5	445.2	431.3	96.880%	 	
燃氣(LNG)		南部CC#1	288.8	220.1	76.212%	 	
燃氣(LNG)		南部CC#2	288.8	224.8	77.839%	 	
燃氣(LNG)		南部CC#3	288.8	228.0	78.947%	 	
燃氣(LNG)		南部CC#4	251.4	229.5	91.289%	 	
燃氣(LNG)		大林#5	-	0.0	-	停機	
燃氣(LNG)		大林#6	550.0	227.1	41.291%	 	
燃氣(LNG)		小計	12829.8(23.215%)	11670.4(41.266%)			
民營電廠-燃氣(IPP-LNG)		海湖#1	450.0	445.4	98.978%	 	
民營電廠-燃氣(IPP-LNG)		海湖#2	450.0	0.0	0.000%	故障	
民營電廠-燃氣(IPP-LNG)		新桃#1	630.0	0.0	0.000%	部分故障	
民營電廠-燃氣(IPP-LNG)		國光#1	480.0	460.3	95.896%	 	
民營電廠-燃氣(IPP-LNG)		星彰#1	506.9	0.0	0.000%	合約限制	
民營電廠-燃氣(IPP-LNG)		星元#1	516.0	451.9	87.578%	 	
民營電廠-燃氣(IPP-LNG)		嘉惠#1	700.0	0.0	0.000%	合約限制	
民營電廠-燃氣(IPP-LNG)		嘉惠#2	510.0	502.8	98.588%	 	
民營電廠-燃氣(IPP-LNG)		豐德#1	506.9	443.5	87.500%	 	
民營電廠-燃氣(IPP-LNG)		豐德#2	506.9	441.7	87.145%	 	
民營電廠-燃氣(IPP-LNG)		豐德#3(註10)	-	1076.9	-	新機組試俥	
民營電廠-燃氣(IPP-LNG)		小計	5256.6(9.512%)	3822.5(13.516%)			
燃油(Oil)		協和#3	500.0	139.9	27.980%	環保限制	
燃油(Oil)		協和#4	500.0	137.4	27.480%	環保限制	
燃油(Oil)		澎湖尖山(註4)	129.8	34.8	26.810%	 	
燃油(Oil)		小計	1129.8(2.044%)	312.1(1.104%)			
輕油(Diesel)		核二Gas1	-	0.0	-	 	
輕油(Diesel)		核二Gas2	-	0.0	-	 	
輕油(Diesel)		核三Gas1	-	0.0	-	 	
輕油(Diesel)		核三Gas2	-	0.0	-	 	
輕油(Diesel)		台中Gas1&2	140.0	0.0	0.000%	 	
輕油(Diesel)		台中Gas3&4	140.0	0.0	0.000%	 	
輕油(Diesel)		金門塔山(註4)	113.3	40.8	36.013%	 	
輕油(Diesel)		馬祖珠山(註4)	28.6	8.6	30.028%	 	
輕油(Diesel)		離島其他(註4)	40.8	N/A	N/A	 	
輕油(Diesel)		小計(註5)	462.7(0.837%)	49.4(0.175%)			
水力(Hydro)		德基#1	78.0	0.0	0.000%	 	
水力(Hydro)		德基#2	78.0	50.1	64.231%	 	
水力(Hydro)		德基#3	78.0	48.9	62.692%	 	
水力(Hydro)		青山#1	92.0	51.7	56.196%	 	
水力(Hydro)		青山#2	92.0	52.2	56.739%	 	
水力(Hydro)		青山#3	92.0	54.1	58.804%	 	
水力(Hydro)		青山#4	92.0	51.9	56.413%	 	
水力(Hydro)		谷關#1	54.4	53.0	97.337%	 	
水力(Hydro)		谷關#2	54.4	51.6	94.766%	 	
水力(Hydro)		谷關#3	54.4	52.9	97.153%	 	
水力(Hydro)		谷關#4	54.4	51.9	95.317%	 	
水力(Hydro)		天輪#1	22.5	20.0	88.889%	運轉限制	
水力(Hydro)		天輪#2	22.5	20.0	88.889%	運轉限制	
水力(Hydro)		天輪#3	22.5	19.8	88.000%	運轉限制	
水力(Hydro)		天輪#4	22.5	19.9	88.444%	運轉限制	
水力(Hydro)		天輪#5	105.0	104.3	99.333%	 	
水力(Hydro)		馬鞍#1	66.7	65.4	97.992%	 	
水力(Hydro)		馬鞍#2	66.7	63.2	94.696%	 	
水力(Hydro)		卓蘭#1	40.0	40.3	100.750%	 	
水力(Hydro)		卓蘭#2	40.0	40.0	100.000%	 	
水力(Hydro)		萬大#1	10.4	10.0	96.618%	 	
水力(Hydro)		萬大#2	10.4	10.0	96.618%	 	
水力(Hydro)		萬大#3	15.3	0.0	0.000%	水文限制	
水力(Hydro)		萬大#4	19.7	19.1	96.954%	 	
水力(Hydro)		松林#1&2	20.9	12.2	58.373%	 	
水力(Hydro)		大觀一#1	22.0	2.4	10.909%	 	
水力(Hydro)		大觀一#2	22.0	2.7	12.273%	 	
水力(Hydro)		大觀一#3	22.0	2.7	12.273%	 	
水力(Hydro)		大觀一#4	22.0	2.9	13.182%	 	
水力(Hydro)		大觀一#5	22.0	2.5	11.364%	 	
水力(Hydro)		鉅工#1	21.8	7.0	32.184%	 	
水力(Hydro)		鉅工#2	21.8	4.9	22.529%	 	
水力(Hydro)		水里#1	12.8	6.3	49.412%	 	
水力(Hydro)		立霧#1&#2	32.0	0.0	0.000%	檢修	
水力(Hydro)		龍澗#1	48.6	0.0	0.000%	 	
水力(Hydro)		龍澗#2	48.6	50.0	102.881%	 	
水力(Hydro)		碧海	61.2	0.0	0.000%	水力排砂	
水力(Hydro)		烏來&桂山&粗坑	40.5	42.6	105.185%	 	
水力(Hydro)		北部小水力(註6)	31.1	N/A	N/A	 	
水力(Hydro)		中部小水力(註6)	24.1	N/A	N/A	 	
水力(Hydro)		南部小水力(註6)	7.2	N/A	N/A	 	
水力(Hydro)		東部小水力(註6)	54.6	37.4	68.498%	 	
水力(Hydro)		翡翠#1	70.0	0.0	0.000%	 	
水力(Hydro)		石門#1	45.0	24.5	54.444%	 	
水力(Hydro)		石門#2	45.0	30.0	66.667%	 	
水力(Hydro)		曾文#1	50.0	20.3	40.600%	 	
水力(Hydro)		義興#1	40.0	0.0	0.000%	檢修	
水力(Hydro)		名間	16.7	14.3	85.629%	 	
水力(Hydro)		嘉南西口、烏山頭和八田	22.5	6.0	26.707%	 	
水力(Hydro)		后里示範	0.1	N/A	N/A	 	
水力(Hydro)		卑南	2.0	0.0	0.000%	 	
水力(Hydro)		恆水創電	0.1	N/A	N/A	 	
水力(Hydro)		捷祥關山	1.0	0.3	30.000%	 	
水力(Hydro)		小計	2111.4(3.821%)	1223.9(4.328%)			
風力(Wind)	陸域風力台電自有(註13)	觀園	30.0	8.9	29.667%	 	
風力(Wind)	陸域風力台電自有(註13)	台中港	35.0	2.6	7.429%	 	
風力(Wind)	陸域風力台電自有(註13)	王功	23.0	1.3	5.652%	 	
風力(Wind)	陸域風力台電自有(註13)	彰工	86.2	3.3	3.828%	 	
風力(Wind)	陸域風力台電自有(註13)	雲麥	46.0	1.3	2.826%	 	
風力(Wind)	陸域風力台電自有(註13)	四湖	28.0	1.9	6.786%	 	
風力(Wind)	陸域風力台電自有(註13)	其它台電自有	72.8	17.3	23.751%	 	
風力(Wind)	陸域風力購電(註13)	苗栗大鵬	42.0	10.6	25.238%	 	
風力(Wind)	陸域風力購電(註13)	鹿威彰濱	55.2	2.0	3.623%	 	
風力(Wind)	陸域風力購電(註13)	觀威觀音&桃威新屋	48.3	2.6	5.383%	 	
風力(Wind)	陸域風力購電(註13)	中威大安	75.9	10.2	13.439%	 	
風力(Wind)	陸域風力購電(註13)	創維風	49.2	3.6	7.317%	 	
風力(Wind)	陸域風力購電(註13)	新源崙背	25.2	4.7	18.651%	 	
風力(Wind)	陸域風力購電(註13)	其它購電風力	178.4	9.9	5.549%	 	
風力(Wind)	離岸風力台電自有(註13)	離岸一期	109.2	8.1	7.418%	 	
風力(Wind)	離岸風力購電(註13)	海洋竹南	128.0	60.3	47.109%	 	
風力(Wind)	離岸風力購電(註13)	海能風	376.0	261.4	69.521%	 	
風力(Wind)	離岸風力購電(註13)	允湖(註10)	-	21.8	-	 	
風力(Wind)	離岸風力購電(註13)	允西(註10)	-	17.4	-	 	
風力(Wind)	離岸風力購電(註13)	沃一風(註10)	-	166.0	-	 	
風力(Wind)	離岸風力購電(註13)	沃二風(註10)	-	85.1	-	 	
風力(Wind)	離岸風力購電(註13)	芳一風(註10)	-	8.7	-	 	
風力(Wind)	離岸風力購電(註13)	芳二風(註10)	-	24.1	-	 	
風力(Wind)	離岸風力購電(註13)	中能風(註10)	-	12.0	-	 	
風力(Wind)		小計	1408.4(2.549%)	745.1(2.635%)			
太陽能(Solar)	太陽能台電自有(註13)	彰濱光	100.0	0.000	0.000%	 	
太陽能(Solar)	太陽能台電自有(註13)	南鹽光	150.0	0.000	0.000%	 	
太陽能(Solar)	太陽能台電自有(註13)	其它台電自有	24.3	0.000	0.000%	 	
太陽能(Solar)	太陽能購電(註13)	崙尾光	-	0.000	-	新增設備測試運轉	
太陽能(Solar)	太陽能購電(註13)	天衝光	-	0.000	-	新增設備測試運轉	
太陽能(Solar)	太陽能購電(註13)	天篷光	80.0	0.000	0.000%	 	
太陽能(Solar)	太陽能購電(註13)	寶興光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	聯華光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	向陽光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	星崴光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	碩力光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	天英光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	志光光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	永堯光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	新和光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	生利光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	廷和光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	星股光(註10)	-	0.000	-	 	
太陽能(Solar)	太陽能購電(註13)	其它購電太陽能	12540.4	0.000	0.000%	 	
太陽能(Solar)		小計	12894.6(23.333%)	0.0(0.000%)			
其它再生能源(Other Renewable Energy)		台電自有地熱	0.8	0.4	47.619%	 	
其它再生能源(Other Renewable Energy)		購電地熱	6.4	1.7	26.361%	 	
其它再生能源(Other Renewable Energy)		生質能(Biofuel)	38.2	27.2	71.204%	 	
其它再生能源(Other Renewable Energy)		小計	45.5(0.082%)	29.3(0.104%)			
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	大觀二#1	250.0	0.0	0.000%	 	
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	大觀二#2	250.0	0.0	0.000%	 	
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	大觀二#3	250.0	0.0	0.000%	 	
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	大觀二#4	250.0	0.0	0.000%	 	
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	明潭#1	267.0	0.0	0.000%	 	
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	明潭#2	267.0	0.0	0.000%	 	
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	明潭#3	267.0	0.0	0.000%	 	
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	明潭#4	267.0	0.0	0.000%	 	
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	明潭#5	267.0	0.0	0.000%	 	
儲能(Energy Storage System)	抽蓄水力(Pumped Hydro)	明潭#6	267.0	0.0	0.000%	 	
儲能(Energy Storage System)	電池(Battery)	電池(註16)	292.8	0.0	0.000%	 	
儲能(Energy Storage System)		小計	2894.8(5.238%)	0.0(0.000%)			
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	大觀二#1	-	0.0	-	 	
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	大觀二#2	-	0.0	-	 	
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	大觀二#3	-	-244.7	-	 	
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	大觀二#4	-	0.0	-	 	
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	明潭#1	-	0.0	-	 	
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	明潭#2	-	0.0	-	 	
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	明潭#3	-	0.0	-	 	
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	明潭#4	-	0.0	-	 	
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	明潭#5	-	-267.7	-	 	
儲能負載(Energy Storage Load)	抽蓄水力(Pumped Hydro)	明潭#6	-	0.0	-	 	
儲能負載(Energy Storage Load)	電池(Battery)	電池(註16)	-	-12.6	-	 	
