能源別	能源子類別	機組名稱	裝置容量	淨發電量	發電量比	備註	空欄位
核能(Nuclear)		核三#1	951.0	714.0	75.079%	燃料限制	
核能(Nuclear)		核三#2	951.0	935.8	98.402%	 	
核能(Nuclear)		小計	1902.0(3.454%)	1649.8(5.854%)			
燃煤(Coal)		林口#1	800.0	746.8	93.350%	 	
燃煤(Coal)		林口#2	800.0	760.2	95.025%	 	
燃煤(Coal)		林口#3	800.0	756.5	94.562%	 	
燃煤(Coal)		台中#1	550.0	0.0	0.000%	歲修	
燃煤(Coal)		台中#2	550.0	385.8	70.145%	環保限制	
燃煤(Coal)		台中#3	550.0	384.7	69.945%	環保限制	
燃煤(Coal)		台中#4	550.0	380.4	69.164%	環保限制	
燃煤(Coal)		台中#5	550.0	336.7	61.218%	測試運轉 	
燃煤(Coal)		台中#6	550.0	399.8	72.691%	環保限制	
燃煤(Coal)		台中#7	550.0	427.9	77.800%	環保限制	
燃煤(Coal)		台中#8	550.0	431.0	78.364%	環保限制	
燃煤(Coal)		台中#9	550.0	432.0	78.545%	環保限制	
燃煤(Coal)		台中#10	550.0	435.0	79.091%	環保限制	
燃煤(Coal)		興達#1(註15)	-	0.0	-	 	
燃煤(Coal)		興達#2(註15)	-	0.0	-	 	
燃煤(Coal)		興達#3(註12)	550.0	382.0	69.455%	環保限制	
燃煤(Coal)		興達#4(註12)	550.0	370.0	67.273%	環保限制	
燃煤(Coal)		大林#1	800.0	759.4	94.925%	 	
燃煤(Coal)		大林#2	800.0	761.8	95.225%	 	
燃煤(Coal)		小計	10600.0(19.247%)	8150.0(28.921%)			
汽電共生(Co-Gen)		汽電共生	631.4	660.0	-	 	
汽電共生(Co-Gen)		小計	631.4(1.146%)	660.0(2.342%)			
民營電廠-燃煤(IPP-Coal)		和平#1	648.6	567.9	87.565%	 	
民營電廠-燃煤(IPP-Coal)		和平#2	648.6	574.0	88.505%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#1	600.0	413.5	68.917%	環保限制	
民營電廠-燃煤(IPP-Coal)		麥寮#2	600.0	566.1	94.350%	 	
民營電廠-燃煤(IPP-Coal)		麥寮#3	600.0	573.1	95.517%	 	
民營電廠-燃煤(IPP-Coal)		小計	3097.1(5.624%)	2694.6(9.562%)			
燃氣(LNG)		大潭CC#1	742.7	617.7	83.170%	運轉限制	
燃氣(LNG)		大潭CC#2	742.7	671.0	90.346%	 	
燃氣(LNG)		大潭CC#3	724.7	626.3	86.422%	 	
燃氣(LNG)		大潭CC#4	724.7	664.0	91.624%	 	
燃氣(LNG)		大潭CC#5	724.7	690.8	95.322%	 	
燃氣(LNG)		大潭CC#6	724.7	692.8	95.598%	 	
燃氣(LNG)		大潭CC#7	600.0	0.0	0.000%	 	
燃氣(LNG)		大潭CC#8(註10)	-	516.8	-	部分檢修	
燃氣(LNG)		大潭CC#9(註10)	-	0.0	-	 	
燃氣(LNG)		通霄CC#1	892.6	847.1	94.903%	 	
燃氣(LNG)		通霄CC#2	892.6	867.6	97.199%	 	
燃氣(LNG)		通霄CC#3	892.6	402.5	45.093%	部分檢修	
燃氣(LNG)		通霄CC#4	386.0	337.5	87.435%	 	
燃氣(LNG)		通霄CC#5	386.0	317.6	82.280%	 	
燃氣(LNG)		通霄CC#6	321.2	306.9	95.548%	 	
燃氣(LNG)		通霄GT#9	180.9	0.0	0.000%	部分故障	
燃氣(LNG)		興達CC#1	445.2	332.2	74.620%	 	
燃氣(LNG)		興達CC#2	445.2	402.4	90.388%	 	
燃氣(LNG)		興達CC#3	445.2	390.2	87.648%	 	
燃氣(LNG)		興達CC#4	445.2	333.2	74.844%	 	
燃氣(LNG)		興達CC#5	445.2	430.0	96.588%	 	
燃氣(LNG)		南部CC#1	288.8	269.4	93.283%	 	
燃氣(LNG)		南部CC#2	288.8	256.5	88.816%	 	
燃氣(LNG)		南部CC#3	288.8	289.1	100.104%	 	
燃氣(LNG)		南部CC#4	251.4	219.6	87.351%	 	
燃氣(LNG)		大林#5	-	0.0	-	 	
燃氣(LNG)		大林#6	550.0	224.8	40.873%	 	
燃氣(LNG)		小計	12829.8(23.296%)	10706.0(37.991%)			
民營電廠-燃氣(IPP-LNG)		海湖#1	450.0	0.0	0.000%	檢修	
民營電廠-燃氣(IPP-LNG)		海湖#2	450.0	441.9	98.200%	 	
民營電廠-燃氣(IPP-LNG)		新桃#1	630.0	0.0	0.000%	檢修	
民營電廠-燃氣(IPP-LNG)		國光#1	480.0	390.1	81.271%	 	
民營電廠-燃氣(IPP-LNG)		星彰#1	506.9	441.4	87.086%	 	
民營電廠-燃氣(IPP-LNG)		星元#1	516.0	0.0	0.000%	部分檢修	
民營電廠-燃氣(IPP-LNG)		嘉惠#1	700.0	0.0	0.000%	檢修	
民營電廠-燃氣(IPP-LNG)		嘉惠#2	510.0	502.5	98.529%	 	
民營電廠-燃氣(IPP-LNG)		豐德#1	506.9	242.8	47.903%	部分檢修	
民營電廠-燃氣(IPP-LNG)		豐德#2	506.9	446.2	88.033%	 	
民營電廠-燃氣(IPP-LNG)		豐德#3(註10)	-	384.4	-	新機組試俥	
民營電廠-燃氣(IPP-LNG)		小計	5256.6(9.545%)	2849.3(10.111%)			
